fragrance_id,name,brand,top_notes,middle_notes,base_notes,main_accords,gender,concentration,rating_value,rating_count,longevity,sillage,year,category,source,embedding_text
70,A Fragrance From Zara Origins,Zara,"Bergamot, Juniper berry",Gaiac wood,"Cedar, Frankincense, Vanilla",,,,8.5,2.0,,,2021.0,,parfumo,"Bergamot, Juniper berry | Gaiac wood | Cedar, Frankincense, Vanilla"
71,A Girl In Capri,Lanvin,"Primofiore lemon, Bergamot, Pink pepper","Grapefruit blossom, Spindrift","White musk, Driftwood","Citrus, Fresh, Sweet, Floral, Fruity",,,7.6,148.0,,,2019.0,,parfumo,"Primofiore lemon, Bergamot, Pink pepper | Grapefruit blossom, Spindrift | White musk, Driftwood | Accords: Citrus, Fresh, Sweet, Floral, Fruity"
72,A Goodnight Kiss,Roja Parfums,"Aldehydes, Bergamot","Carnation, May rose, Violet, Orange blossom, Ylang-ylang, Grasse jasmine","Clove, Iris, Rice powder, Green notes, Leather, Musk, Spicy notes, Cedarwood","Floral, Powdery, Spicy, Creamy, Chypre",,,8.1,167.0,,,2015.0,,parfumo,"Aldehydes, Bergamot | Carnation, May rose, Violet, Orange blossom, Ylang-ylang, Grasse jasmine | Clove, Iris, Rice powder, Green notes, Leather, Musk, Spicy notes, Cedarwood | Accords: Floral, Powdery, Spicy, Creamy, Chypre"
73,A Grove by the Sea,Arquiste,"Black olive, Croatian clementine, Fig leaf, Fleur de sel","Fig, Olive oil, Rosemary, Thyme","Fir balsam, Mediterranean cypress, Red clay, Stone pine needle",,,,,,,,2024.0,,parfumo,"Black olive, Croatian clementine, Fig leaf, Fleur de sel | Fig, Olive oil, Rosemary, Thyme | Fir balsam, Mediterranean cypress, Red clay, Stone pine needle"
74,A Killing Beauty,Nimerè,"Lemon vervain, Petitgrain, Tangerine","Freesia, Gardenia, Hawthorn, Iris, Lilac, Lily of the valley, Plum, Rose, Woodland strawberry","Caramel, Cedar, Gaiac wood, Honey, Labdanum, Musk, Myrrh, Oakmoss, Patchouli, Sandalwood, Tolu balm, Tonka bean, Vanilla, Vetiver","Spicy, Woody, Floral, Sweet",,,,,,,,,parfumo,"Lemon vervain, Petitgrain, Tangerine | Freesia, Gardenia, Hawthorn, Iris, Lilac, Lily of the valley, Plum, Rose, Woodland strawberry | Caramel, Cedar, Gaiac wood, Honey, Labdanum, Musk, Myrrh, Oakmoss, Patchouli, Sandalwood, Tolu balm, Tonka bean, Vanilla, Vetiver | Accords: Spicy, Woody, Floral, Sweet"
75,A Kiss from a Rose,Kilian,Vegetal notes,"Chinese jasmine sambac, May rose","Cypriol, White musk","Floral, Green, Fresh, Sweet, Creamy",,,7.7,26.0,,,2021.0,,parfumo,"Vegetal notes | Chinese jasmine sambac, May rose | Cypriol, White musk | Accords: Floral, Green, Fresh, Sweet, Creamy"
76,A Kiss of Bliss,Penhaligon's,"Clover, Bergamot, Rose","Heliotrope, Matcha, Jasmine absolute","Musk, Moss, Patchouli","Creamy, Spicy, Floral, Fresh, Powdery",,,6.6,28.0,,,2023.0,,parfumo,"Clover, Bergamot, Rose | Heliotrope, Matcha, Jasmine absolute | Musk, Moss, Patchouli | Accords: Creamy, Spicy, Floral, Fresh, Powdery"
77,A Lab on Fire Almost Transparent Blue,A Lab on Fire,"lime, yuzu","Rosemary, Pine, Jasmine, Geranium","Sage, Sandalwood, Atlas Cedar, Moss",,Unisex,Eau de Parfum,none,none,,,2013,Citrus,rawanalqarni,"lime, yuzu | Rosemary, Pine, Jasmine, Geranium | Sage, Sandalwood, Atlas Cedar, Moss | Unisex | Eau de Parfum"
78,A Lab on Fire Liquidnight,A Lab on Fire,"bergamot, lime, safran","Orange Blossom, Opoponax, Myrrh, Brazilian Rosewood",Patchouli,,Unisex,Eau de Parfum,none,none,,,2012,Floral,rawanalqarni,"bergamot, lime, safran | Orange Blossom, Opoponax, Myrrh, Brazilian Rosewood | Patchouli | Unisex | Eau de Parfum"
79,A Lilac A Day,Vilhelm Parfumerie,"Blue lilac, Freesia","Galbanum, Jasmine","Black amber, Rose","Floral, Fresh, Green, Spicy, Woody",,,7.6,57.0,,,2016.0,,parfumo + rdemarqui,"Blue lilac, Freesia | Galbanum, Jasmine | Black amber, Rose | Accords: Floral, Fresh, Green, Spicy, Woody"
80,A Long & Elegant Nose,Arcana Wildcraft,"Calabrian bergamot, Calabrian mandarin orange, Italian lemon, Italian violet leaf, Nutmeg, Grunge","Bulgarian rose, Florentine iris, Jasminum auriculatum, Lily of the valley, Manure","Amber, Australian sandalwood, Cambodian oud, Tuscan oak moss",,,,,,,,2015.0,,parfumo,"Calabrian bergamot, Calabrian mandarin orange, Italian lemon, Italian violet leaf, Nutmeg, Grunge | Bulgarian rose, Florentine iris, Jasminum auriculatum, Lily of the valley, Manure | Amber, Australian sandalwood, Cambodian oud, Tuscan oak moss"
81,A Man of Ultra - Mach Tube Ride (マッハ チューブ ライド) A Man of Ultra,Risingwave / ライジングウェーブ,"Blackcurrant, Citrus zest, Grapefruit, Leaf green","Floral notes, Lily of the valley","Cedarwood, Musk",,,,,,,,2015.0,,parfumo,"Blackcurrant, Citrus zest, Grapefruit, Leaf green | Floral notes, Lily of the valley | Cedarwood, Musk"
82,A Man of Ultra - Spacium Cut Back (スペシウム カット バック) A Man of Ultra,Risingwave / ライジングウェーブ,"Apple, Blackcurrant, Lemon, Pineapple","Jasmine, Peach, Pear","Amber, Musk, Sandalwood",,,,,,,,2015.0,,parfumo,"Apple, Blackcurrant, Lemon, Pineapple | Jasmine, Peach, Pear | Amber, Musk, Sandalwood"
83,A Man of Ultra - Ultra Attack Air (ウルトラ アタック エアー) A Man of Ultra,Risingwave / ライジングウェーブ,"Apple, Bergamot, Orange, Tangerine","Blackcurrant, Jasmine, Peach, Rose, White oleander","Amber, Musk",,,,,,,,2015.0,,parfumo,"Apple, Bergamot, Orange, Tangerine | Blackcurrant, Jasmine, Peach, Rose, White oleander | Amber, Musk"
84,A Mediterranean Journey - Bodrum N°3,Mango,"Bergamot, Fir needle","Cedar leaf, Lavender, Saffron","Fir balsam, Guaiacol","Woody, Spicy",,,,,,,2021.0,,parfumo,"Bergamot, Fir needle | Cedar leaf, Lavender, Saffron | Fir balsam, Guaiacol | Accords: Woody, Spicy"
85,A Mediterranean Journey - Formentera N°8,Mango,"Blood orange, Cardamom, Mint","Orange blossom, Spices, Tobacco, Woody notes","Amber, Tonka bean, Vanilla",,,,5.8,3.0,,,2021.0,,parfumo,"Blood orange, Cardamom, Mint | Orange blossom, Spices, Tobacco, Woody notes | Amber, Tonka bean, Vanilla"
86,A Mediterranean Journey - Grasse N°10,Mango,Pineapple,"Jasmine, Patchouli, Rose","Ambergris, Musk, Vanilla, Woods","Citrus, Woody, Fresh, Fougère, Chypre",,,8.3,3.0,,,2021.0,,parfumo,"Pineapple | Jasmine, Patchouli, Rose | Ambergris, Musk, Vanilla, Woods | Accords: Citrus, Woody, Fresh, Fougère, Chypre"
87,A Mediterranean Journey - Rhodes,Mango,"Cardamom, Mint","Cinnamon, Lavender","Tonka bean, Vanilla","Powdery, Green",,,7.4,5.0,,,2021.0,,parfumo,"Cardamom, Mint | Cinnamon, Lavender | Tonka bean, Vanilla | Accords: Powdery, Green"
88,A Mediterranean Journey - Santorini N°11,Mango,"Cardamom, Grapefruit, Lemon, Mandarin orange, Melon","Geranium, Green notes, Marine notes","Amber, Amberwood, Musk, Vetiver","Fresh, Citrus, Aquatic, Green",,,,,,,2021.0,,parfumo,"Cardamom, Grapefruit, Lemon, Mandarin orange, Melon | Geranium, Green notes, Marine notes | Amber, Amberwood, Musk, Vetiver | Accords: Fresh, Citrus, Aquatic, Green"
89,A Mi Aire,Loewe,"Bergamot, Clover, Calabrian mandarin orange","Jasmine tea, Bell pepper, Rosa centifolia","Cedarwood, Musk, Oakmoss","Citrus, Fresh, Floral, Green, Synthetic",,,6.7,33.0,,,2005.0,,parfumo + rdemarqui,"Bergamot, Clover, Calabrian mandarin orange | Jasmine tea, Bell pepper, Rosa centifolia | Cedarwood, Musk, Oakmoss | Accords: Citrus, Fresh, Floral, Green, Synthetic"
90,A Midsummer Dream,Roja Parfums,"Grapefruit, Aldehydes, Bergamot, Lemon, Mandarin orange","Geranium, Orange blossom, Cyclamen, Magnolia, May rose","Cardamom, Oakmoss, Elemi resin, Fir balsam, Vetiver, Amber, Benzoin, Cedarwood, Cocoa, Iris, Musk, Pink pepper, Rhubarb, Carrot seed, Patchouli, Vanilla","Fresh, Floral, Spicy, Citrus, Woody",,,,,,,2016.0,,parfumo,"Grapefruit, Aldehydes, Bergamot, Lemon, Mandarin orange | Geranium, Orange blossom, Cyclamen, Magnolia, May rose | Cardamom, Oakmoss, Elemi resin, Fir balsam, Vetiver, Amber, Benzoin, Cedarwood, Cocoa, Iris, Musk, Pink pepper, Rhubarb, Carrot seed, Patchouli, Vanilla | Accords: Fresh, Floral, Spicy, Citrus, Woody"
91,A Never Ending Love,Thomas Kosmala,"White rose, Bergamot","Musk, White blossoms, Orange blossom","Amber, Patchouli, Rose absolute","Floral, Woody, Sweet, Fresh, Creamy",,,8.2,8.0,,,,,parfumo,"White rose, Bergamot | Musk, White blossoms, Orange blossom | Amber, Patchouli, Rose absolute | Accords: Floral, Woody, Sweet, Fresh, Creamy"
92,A New Dimension - Gate AA 003 B137,Bershka,"Bergamot, Freesia, Hyacinth, Rotten Onion","Bulgarian rose absolute, Honey, Honeysuckle, Lily of the valley","Amber, Brazilian vetiver, Moss, Musk, Sandalwood, Carcass","Floral, Fresh, Woody",,,7.2,3.0,,,1976.0,,parfumo,"Bergamot, Freesia, Hyacinth, Rotten Onion | Bulgarian rose absolute, Honey, Honeysuckle, Lily of the valley | Amber, Brazilian vetiver, Moss, Musk, Sandalwood, Carcass | Accords: Floral, Fresh, Woody"
93,A One (Man),Al Haramain / الحرمين,"Aniseed, Basil, Bergamot, Ginger, Grapefruit, Juniper, Lavender, Mandarin orange, Saffron","Lily of the valley, Orange blossom, Rose, Spicy notes, Woody notes","Amber, Cambodian oud, Cedarwood, Cypriol, Musk, Sandalwood",,,,,,,,,,parfumo,"Aniseed, Basil, Bergamot, Ginger, Grapefruit, Juniper, Lavender, Mandarin orange, Saffron | Lily of the valley, Orange blossom, Rose, Spicy notes, Woody notes | Amber, Cambodian oud, Cedarwood, Cypriol, Musk, Sandalwood"
94,a Orchard,Aedes de Venustas,"Coriander, Mandarin orange, Mugwort, Neroli, Bregnotrix","Cardamom, Iris, Jasmine, Pepper","Amber, Cedarwood, Leather, Vetiver",,,,,,,,,,parfumo,"Coriander, Mandarin orange, Mugwort, Neroli, Bregnotrix | Cardamom, Iris, Jasmine, Pepper | Amber, Cedarwood, Leather, Vetiver"
95,A Pale Young Gentleman,Arcana Wildcraft,"Calabrian bergamot, Davana, Raspberry, Sicilian lemon, Sock","Gaiac wood, Italian iris, Madagascan clove, Texas cedar, Fume","Amber, Australian sandalwood, Bourbon vanilla, Haitian vetiver, Indonesian patchouli",,,,,,,,,,parfumo,"Calabrian bergamot, Davana, Raspberry, Sicilian lemon, Sock | Gaiac wood, Italian iris, Madagascan clove, Texas cedar, Fume | Amber, Australian sandalwood, Bourbon vanilla, Haitian vetiver, Indonesian patchouli"
96,A Perfume In Rose,Zara,"Pear, Pink pepper","Ambrette seed, Iris, Rose","Cashmere wood, Cedarwood, Musk","Fresh, Floral, Woody, Sweet, Creamy",,,7.9,26.0,,,2019.0,,parfumo,"Pear, Pink pepper | Ambrette seed, Iris, Rose | Cashmere wood, Cedarwood, Musk | Accords: Fresh, Floral, Woody, Sweet, Creamy"
97,A Reason to Love,Gucci,"Damask rose, Peony, Cardamom",Oud,Tolu balm,"Oriental, Spicy, Floral, Resinous, Sweet",,,7.2,21.0,,,2022.0,,parfumo,"Damask rose, Peony, Cardamom | Oud | Tolu balm | Accords: Oriental, Spicy, Floral, Resinous, Sweet"
98,A Rose for the Miss? One Way Bridge Perfumes 2012 Solid Parfum,One Way Bridge Perfumes,"Bergamot, Lavender, Lime","Coriander, Geranium, Jasmine","Amber, Balsam fir, Cedarwood, Musk",,,Solid Parfum,,,,,2012.0,,parfumo,"Bergamot, Lavender, Lime | Coriander, Geranium, Jasmine | Amber, Balsam fir, Cedarwood, Musk | Solid Parfum"
99,A Rose for...,Floris,"Blackcurrant, Darjeeling tea, Frankincense","Red rose, Iris, Oud","Sandalwood, Amber, Vanilla, Patchouli","Floral, Woody, Spicy, Resinous, Oriental",,,8.0,16.0,,,2016.0,,parfumo,"Blackcurrant, Darjeeling tea, Frankincense | Red rose, Iris, Oud | Sandalwood, Amber, Vanilla, Patchouli | Accords: Floral, Woody, Spicy, Resinous, Oriental"
100,A Scent of a Sweet Kiss,Nimerè,"Blackcurrant, Bitter orange, Spanish lemon, Vanilla","Neroli, Tuberose, Freesia, Jasmine, Rose, Ylang-ylang, Gardenia","Ambergris, Benzoin, Cedar, Musk, Myrrh, Patchouli, Gaiac wood, Immortelle, Vetiver","Floral, Fruity, Creamy, Sweet, Woody",,,8.0,13.0,,,,,parfumo,"Blackcurrant, Bitter orange, Spanish lemon, Vanilla | Neroli, Tuberose, Freesia, Jasmine, Rose, Ylang-ylang, Gardenia | Ambergris, Benzoin, Cedar, Musk, Myrrh, Patchouli, Gaiac wood, Immortelle, Vetiver | Accords: Floral, Fruity, Creamy, Sweet, Woody"
101,A Scent Soleil de Néroli,Issey Miyake,"Neroli, Tiaré","Jasmine, Gardenia, Hyacinth",Musk,"Floral, Fresh, Fruity, Green",,,6.9,8.0,,,2011.0,,parfumo,"Neroli, Tiaré | Jasmine, Gardenia, Hyacinth | Musk | Accords: Floral, Fresh, Fruity, Green"
102,A Shot Of Muguet & Cedar,Jo Loves...,"Argentinian lemon, Fig leaf, Lily of the valley","Cedar, Juniper berry, Nutmeg, Pink pepper","Amber, Musk",,,,,,,,2013.0,,parfumo,"Argentinian lemon, Fig leaf, Lily of the valley | Cedar, Juniper berry, Nutmeg, Pink pepper | Amber, Musk"
103,A Shot of Oud over Mango,Jo Loves...,"Black pepper, Mango",Freesia,Oud,,,,5.0,3.0,,,2012.0,,parfumo,"Black pepper, Mango | Freesia | Oud"
104,A Single Wish,Filigree & Shadow,"Black pepper, Pink pepper, Violet, Ylang-ylang, Flabtus","Ambergris, Birch, Cedarwood, Leather, Musk, Oakmoss, Sandalwood, Tonka bean, Vetiver","Ambergris, Bakhoor, Coriander, Frankincense, Geranium, Iris, Rose",,,,,,,,,,parfumo,"Black pepper, Pink pepper, Violet, Ylang-ylang, Flabtus | Ambergris, Birch, Cedarwood, Leather, Musk, Oakmoss, Sandalwood, Tonka bean, Vetiver | Ambergris, Bakhoor, Coriander, Frankincense, Geranium, Iris, Rose"
105,A Song for the Rose,Gucci,"Mimosa, Star anise, Zenthorium","Iris, Liquorice, Flibtix","Caramel, Musk, Vanilla, Dust","Powdery, Sweet, Gourmand, Fresh, Woody",,,7.4,7.0,,,1998.0,,parfumo,"Mimosa, Star anise, Zenthorium | Iris, Liquorice, Flibtix | Caramel, Musk, Vanilla, Dust | Accords: Powdery, Sweet, Gourmand, Fresh, Woody"
106,A Stroke of Candid Avon Solid Cologne,Avon,"Bergamot, Leaves, Peach, Pollution","Aquatic notes, Lily of the valley, Rose","Amber, Musk, Sandalwood",,,Solid Cologne,,,,,,,parfumo,"Bergamot, Leaves, Peach, Pollution | Aquatic notes, Lily of the valley, Rose | Amber, Musk, Sandalwood | Solid Cologne"
107,A Stroke of Odyssey Avon Solid Cologne,Avon,"Bergamot, Spicy notes, Zenthorium","Jasmine, Patchouli","Cedarwood, Sandalwood, White musk, Flabtus",,,Solid Cologne,,,,,,,parfumo,"Bergamot, Spicy notes, Zenthorium | Jasmine, Patchouli | Cedarwood, Sandalwood, White musk, Flabtus | Solid Cologne"
108,A Stroke of Tasha Avon Solid Cologne,Avon,"Orange zest, Fermented Almond","American oak wood absolute, Indian Bourbon vanilla, Moroccan damask rose, Disgust","Amber, Indian patchouli",,,Solid Cologne,,,,,,,parfumo,"Orange zest, Fermented Almond | American oak wood absolute, Indian Bourbon vanilla, Moroccan damask rose, Disgust | Amber, Indian patchouli | Solid Cologne"
109,A Study in Brown,Deep Midnight Perfumes,"Bergamot, Lemon, Rosemary","Violet, Lavender, Tonka bean, Decay","Patchouli, Vanilla, Vetiver, Skunk",,,,,,,,2009.0,,parfumo,"Bergamot, Lemon, Rosemary | Violet, Lavender, Tonka bean, Decay | Patchouli, Vanilla, Vetiver, Skunk"
110,A Summer Breeze,Aromas de Salazar,"Bergamot, Mandarin orange, Orange, Orange blossom, Nebulonix","Jasmine, Mimosa, Turkish rose, Ylang-ylang, Sock","Opoponax, Patchouli, Tonka bean, Vanilla, Vetiver, White musk, Fume",,,,,,,,,,parfumo,"Bergamot, Mandarin orange, Orange, Orange blossom, Nebulonix | Jasmine, Mimosa, Turkish rose, Ylang-ylang, Sock | Opoponax, Patchouli, Tonka bean, Vanilla, Vetiver, White musk, Fume"
111,A Taste of Heaven Absinthe Verte Kilian 2007 Perfume,Kilian,"Lavender, Orange blossom","Patchouli, Rose","Vanilla, Amber, Oakmoss","Spicy, Sweet, Floral, Green, Powdery",,Perfume,7.5,383.0,,,2007.0,,parfumo,"Lavender, Orange blossom | Patchouli, Rose | Vanilla, Amber, Oakmoss | Accords: Spicy, Sweet, Floral, Green, Powdery | Perfume"
112,A Taste of Heaven Absinthe Verte Kilian Solid Perfume,Kilian,"Lavender, Orange blossom","Patchouli, Rose","Vanilla, Amber, Oakmoss",,,Solid Perfume,,,,,,,parfumo,"Lavender, Orange blossom | Patchouli, Rose | Vanilla, Amber, Oakmoss | Solid Perfume"
113,A Thousand Wishes For You,Bath & Body Works,"Rose absolute, Mud","Chocolate, Plum, Vanilla absolute, Putridity","Thai oud, Ambergris, Musk, Patchouli, Sandalwood, Onion","Floral, Woody, Oriental, Spicy, Sweet",,,8.3,231.0,,,,,parfumo,"Rose absolute, Mud | Chocolate, Plum, Vanilla absolute, Putridity | Thai oud, Ambergris, Musk, Patchouli, Sandalwood, Onion | Accords: Floral, Woody, Oriental, Spicy, Sweet"
114,A touch of Class,Fabergé,"Green lilac, Mandarin orange, Corn mint","Amaryllis, Guinea pepper, Peach, Water lily","Musk, Vanilla, Blue atlas cedar","Floral, Fresh, Aquatic, Fruity, Citrus",,,6.5,12.0,,,2003.0,,parfumo,"Green lilac, Mandarin orange, Corn mint | Amaryllis, Guinea pepper, Peach, Water lily | Musk, Vanilla, Blue atlas cedar | Accords: Floral, Fresh, Aquatic, Fruity, Citrus"
115,A Walk with Someone,Proad,"Bergamot, Black pepper, Cypress, Lavender, Tangerine","Cinnamon, Clove, Hay, Juniper, Patchouli","Amber, Ambergris, Cedarwood, Civet, Gaiac wood, Musk, Oud, Sandalwood, Tonka bean, Vanilla, Vetiver",,,,,,,,2019.0,,parfumo,"Bergamot, Black pepper, Cypress, Lavender, Tangerine | Cinnamon, Clove, Hay, Juniper, Patchouli | Amber, Ambergris, Cedarwood, Civet, Gaiac wood, Musk, Oud, Sandalwood, Tonka bean, Vanilla, Vetiver"
116,A Way for Her,Trussardi,"Bergamot, Peach, White tea","Jasmine, Frangipani, Tuberose","Ambroxan, Musk, Vanilla, Sandalwood, Vetiver","Floral, Fresh, Citrus, Fruity, Sweet",,,6.0,48.0,,,2014.0,,parfumo,"Bergamot, Peach, White tea | Jasmine, Frangipani, Tuberose | Ambroxan, Musk, Vanilla, Sandalwood, Vetiver | Accords: Floral, Fresh, Citrus, Fruity, Sweet"
117,A Way for Him,Trussardi,"Grapefruit, Bergamot, Lemon","Green apple, Air accord, Solar note","Vanilla, Blond woods, Patchouli","Citrus, Sweet, Fruity, Synthetic, Woody",,,5.8,33.0,,,2014.0,,parfumo,"Grapefruit, Bergamot, Lemon | Green apple, Air accord, Solar note | Vanilla, Blond woods, Patchouli | Accords: Citrus, Sweet, Fruity, Synthetic, Woody"
118,A Way To Say Goodbye,Filigree & Shadow,"Bergamot, Bulgarian rose, Cinnamon, Iris, Opoponax, Pink pepper, Turkish rose absolute, Violet, Diesel","Patchouli, Vanilla, Charcoal","Sandalwood, Amber, Musk, Tonka bean","Powdery, Floral",,,6.5,10.0,,,1998.0,,parfumo,"Bergamot, Bulgarian rose, Cinnamon, Iris, Opoponax, Pink pepper, Turkish rose absolute, Violet, Diesel | Patchouli, Vanilla, Charcoal | Sandalwood, Amber, Musk, Tonka bean | Accords: Powdery, Floral"
119,A Whiff of Five,Swiss Arabian,"Aldehydes, Bergamot, Lemon, Neroli, Ylang-ylang","Jasmine, Lily of the valley, Rose","Amber, Civet, Musk, Patchouli, Sandalwood, Vanilla, Vetiver",,,,,,,,,,parfumo,"Aldehydes, Bergamot, Lemon, Neroli, Ylang-ylang | Jasmine, Lily of the valley, Rose | Amber, Civet, Musk, Patchouli, Sandalwood, Vanilla, Vetiver"
120,A Woodlands Fantasy The Golden Deer,Arts&Scents,"Amber, Rose, Ylang-ylang","Amber, Geranium, Cotton candy, Sandalwood, Asphalt","Patchouli, Benzoin, Frankincense, Tonkin musk, Vanilla, Sandalwood, Stalebread","Sweet, Oriental, Floral, Spicy, Powdery",,,7.5,74.0,,,2009.0,,parfumo,"Amber, Rose, Ylang-ylang | Amber, Geranium, Cotton candy, Sandalwood, Asphalt | Patchouli, Benzoin, Frankincense, Tonkin musk, Vanilla, Sandalwood, Stalebread | Accords: Sweet, Oriental, Floral, Spicy, Powdery"
121,A,Pantheon,"Mango, Coconut, Pink pepper","Jasmine sambac, Iris, Orchid","Vanilla, Amber, Musk, Patchouli, Tonka bean","Fruity, Sweet, Creamy, Floral, Spicy",,,8.1,87.0,,,2023.0,,parfumo,"Mango, Coconut, Pink pepper | Jasmine sambac, Iris, Orchid | Vanilla, Amber, Musk, Patchouli, Tonka bean | Accords: Fruity, Sweet, Creamy, Floral, Spicy"
122,A,Tonatto,Vervain,Rose,"Leather, Tobacco","Floral, Leathery, Green",,,9.3,3.0,,,,,parfumo,"Vervain | Rose | Leather, Tobacco | Accords: Floral, Leathery, Green"
123,A' Grazia,Nobile 1942,"Bergamot, Caraway, Davana, Rose oxide","Chocolate, Cypriol, Rose","Amber, Leather, Musk, Raspberry, Sandalwood, Vanilla",,,,,,,,2023.0,,parfumo,"Bergamot, Caraway, Davana, Rose oxide | Chocolate, Cypriol, Rose | Amber, Leather, Musk, Raspberry, Sandalwood, Vanilla"
124,A'Jbah,Al-Shaya / الشايع,"Italian bergamot, Grapefruit, Clary sage, Plonktar","Jasmine, Peony, Fish","Almond, Powder, Precious woods, Rose, Musk, Benzoin Siam, Indonesian patchouli, Vanilla, Clove","Floral, Sweet, Powdery, Spicy, Woody",,,7.5,91.0,,,1998.0,,parfumo,"Italian bergamot, Grapefruit, Clary sage, Plonktar | Jasmine, Peony, Fish | Almond, Powder, Precious woods, Rose, Musk, Benzoin Siam, Indonesian patchouli, Vanilla, Clove | Accords: Floral, Sweet, Powdery, Spicy, Woody"
125,A'maze Femme,Parisvally,"Jasmine, Lily, Magnolia, Ylang-ylang","Black pepper, Honey, Mandarin orange nectar, Sandalwood",Amber,,,,,,,,,,parfumo,"Jasmine, Lily, Magnolia, Ylang-ylang | Black pepper, Honey, Mandarin orange nectar, Sandalwood | Amber"
126,A'maze Homme,Parisvally,"Bergamot, Black pepper, Grapefruit, Lemon, Nutmeg","Cedarwood, Geranium, Ginger, Jasmine","Amber, Frankincense, Moss, Patchouli, Sandalwood, Tonka bean, Vetiver",,,,,,,,,,parfumo,"Bergamot, Black pepper, Grapefruit, Lemon, Nutmeg | Cedarwood, Geranium, Ginger, Jasmine | Amber, Frankincense, Moss, Patchouli, Sandalwood, Tonka bean, Vetiver"
127,A'mmare,Carthusia,"Salt, Bergamot, Rosemary","Aquatic notes, Mint","White musk, Cedarwood, Gaiac wood, Patchouli","Aquatic, Fresh, Spicy, Green, Woody",,,7.7,280.0,,,2021.0,,parfumo,"Salt, Bergamot, Rosemary | Aquatic notes, Mint | White musk, Cedarwood, Gaiac wood, Patchouli | Accords: Aquatic, Fresh, Spicy, Green, Woody"
128,A*Men - Le Goût du Parfum,Mugler,"Coriander, Peppermint, Bergamot, Lavender","Red pepper, Patchouli, Cedarwood","Coffee, Tonka bean, Musk, Styrax","Gourmand, Spicy, Sweet, Oriental, Woody",,,7.5,101.0,,,2011.0,,parfumo,"Coriander, Peppermint, Bergamot, Lavender | Red pepper, Patchouli, Cedarwood | Coffee, Tonka bean, Musk, Styrax | Accords: Gourmand, Spicy, Sweet, Oriental, Woody"
129,A*Men Angel Men,Mugler,"Lavender, Bergamot, Coriander, Peppermint","Caramel, Patchouli, Cedarwood, Honey, Lily of the valley, Jasmine","Coffee, Tonka bean, Amber, Benzoin, Musk, Vanilla, Sandalwood, Styrax","Sweet, Gourmand, Spicy, Oriental, Woody",,,7.2,1054.0,,,1996.0,,parfumo,"Lavender, Bergamot, Coriander, Peppermint | Caramel, Patchouli, Cedarwood, Honey, Lily of the valley, Jasmine | Coffee, Tonka bean, Amber, Benzoin, Musk, Vanilla, Sandalwood, Styrax | Accords: Sweet, Gourmand, Spicy, Oriental, Woody"
130,A*Men Kryptomint,Mugler,Mint,Egyptian geranium,Indonesian patchouli,"Fresh, Sweet, Gourmand, Green, Spicy",,,7.4,220.0,,,2017.0,,parfumo,"Mint | Egyptian geranium | Indonesian patchouli | Accords: Fresh, Sweet, Gourmand, Green, Spicy"
131,A*Men Pure Havane,Mugler,Honeyed tobacco,"Cocoa, Patchouli","Ambergris, Labdanum, Styrax","Sweet, Gourmand, Spicy, Oriental, Woody",,,,,,,2011.0,,parfumo,"Honeyed tobacco | Cocoa, Patchouli | Ambergris, Labdanum, Styrax | Accords: Sweet, Gourmand, Spicy, Oriental, Woody"
132,A*Men Pure Shot Pure Energy,Mugler,"Juniper berry, Mint","White pepper, Cardamom","Patchouli, Sequoia","Fresh, Spicy, Woody, Citrus, Aquatic",,,7.3,206.0,,,2012.0,,parfumo,"Juniper berry, Mint | White pepper, Cardamom | Patchouli, Sequoia | Accords: Fresh, Spicy, Woody, Citrus, Aquatic"
133,A*Men Summer Flash,Mugler,Fresh notes,Aromatic notes,"Musk, Patchouli, Woods","Fresh, Animal, Aquatic, Spicy, Woody",,,7.2,12.0,,,2006.0,,parfumo,"Fresh notes | Aromatic notes | Musk, Patchouli, Woods | Accords: Fresh, Animal, Aquatic, Spicy, Woody"
134,A*Men Ultra Zest,Mugler,"Blood orange, Tangerine, Ginger, Mint","Coffee, Cinnamon, Black pepper","Patchouli, Vanilla, Tonka bean","Sweet, Fruity, Citrus, Gourmand, Fresh",,,7.7,289.0,,,2015.0,,parfumo,"Blood orange, Tangerine, Ginger, Mint | Coffee, Cinnamon, Black pepper | Patchouli, Vanilla, Tonka bean | Accords: Sweet, Fruity, Citrus, Gourmand, Fresh"
135,A-33,J.F. Schwarzlose Berlin,"Mandarin orange, Red pepper","Linden blossom, Jasmine sambac, Magnolia","Cedarwood, Iris","Fresh, Floral, Green, Citrus, Spicy",,,8.0,2.0,,,2012.0,,parfumo,"Mandarin orange, Red pepper | Linden blossom, Jasmine sambac, Magnolia | Cedarwood, Iris | Accords: Fresh, Floral, Green, Citrus, Spicy"
136,a. C.,Patio,"Omani frankincense, Damask rose","Egyptian calamus, Jordan patchouli, Myrrh, Sandalwood, Oud, Benzoin",Amber,,,,9.3,2.0,,,2019.0,,parfumo,"Omani frankincense, Damask rose | Egyptian calamus, Jordan patchouli, Myrrh, Sandalwood, Oud, Benzoin | Amber"
