Name,Formality,Season,Gender,Time_of_Day,Frequency,Longevity,Notes
Secret Spice No.339,0.33,Spring,Female,Night,Often,Long,"Mint, Peach | Geranium, Rose | Tonka Bean, Oud, Incense | Accords: Fresh, Aquatic, Smoky"
Golden Oud No.340,0.35,Fall,Male,Night,Often,Short,"Mandarin, Pink Pepper | Iris, Cardamom | Oud, Sandalwood, Leather | Accords: Earthy, Fresh, Green"
Velvet Fire No.341,0.49,Summer,Male,Day,Often,Long,"Peach, Pink Pepper | Freesia, Jasmine | Musk, Tonka Bean, Patchouli | Accords: Smoky, Fruity, Spicy"
Crystal Amber No.342,0.92,Summer,Male,Night,Often,Long,"Sea Salt, Pink Pepper | Iris, Violet | Musk, Vanilla, Oakmoss | Accords: Citrus, Spicy, Earthy"
Royal Fire No.343,0.77,Spring,Male,Day,Occasionally,Short,"Peach, Mandarin | Iris, Jasmine | Incense, Sandalwood, Tonka Bean | Accords: Fruity, Woody, Smoky"
Midnight Petal No.344,0.61,Spring,Female,Night,Occasionally,Short,"Grapefruit, Mandarin | Rose, Lily of the Valley | Tonka Bean, Vanilla, Cedarwood | Accords: Floral, Woody, Smoky"
Ocean Storm No.345,0.49,Winter,Female,Day,Often,Long,"Grapefruit, Blackcurrant | Orchid, Iris | Vetiver, Musk, Cedarwood | Accords: Powdery, Aquatic, Earthy"
Velvet Spice No.346,0.24,Summer,Male,Night,Often,Short,"Mint, Grapefruit | Nutmeg, Freesia | Musk, Sandalwood, Oud | Accords: Smoky, Spicy, Fresh"
Secret Nectar No.347,0.94,Spring,Female,Day,Often,Long,"Lemon, Mint | Clary Sage, Geranium | Tonka Bean, Sandalwood, Patchouli | Accords: Floral, Earthy, Smoky"
Astral Breeze No.348,0.91,Summer,Male,Night,Often,Short,"Bergamot, Mint | Cardamom, Geranium | Vanilla, Sandalwood, Cedarwood | Accords: Floral, Smoky, Spicy"
Mystic Orchid No.349,0.56,Spring,Any,Day,Occasionally,Short,"Blackcurrant, Pineapple | Clary Sage, Nutmeg | Tonka Bean, Leather, Vetiver | Accords: Aquatic, Green, Smoky"
Royal Rose No.350,0.4,Fall,Male,Day,Occasionally,Short,"Mandarin, Lemon | Rose, Violet | Vetiver, Oud, Vanilla | Accords: Gourmand, Powdery, Green"
Midnight Orchid No.351,0.39,Fall,Any,Night,Often,Short,"Grapefruit, Sea Salt | Iris, Geranium | Amber, Musk, Vanilla | Accords: Green, Citrus, Fresh"
Astral Petal No.352,0.21,Summer,Male,Night,Often,Long,"Grapefruit, Peach | Jasmine, Cardamom | Oakmoss, Leather, Cedarwood | Accords: Aquatic, Citrus, Woody"
Urban Rose No.353,0.72,Fall,Male,Night,Often,Short,"Lavender, Bergamot | Clary Sage, Lily of the Valley | Oud, Cedarwood, Tonka Bean | Accords: Green, Spicy, Fresh"
Urban Orchid No.354,0.05,Fall,Male,Night,Occasionally,Long,"Mandarin, Blackcurrant | Orchid, Violet | Amber, Tonka Bean, Incense | Accords: Earthy, Citrus, Gourmand"
Desert Soul No.355,0.74,Fall,Female,Day,Occasionally,Short,"Lemon, Bergamot | Iris, Cinnamon | Musk, Patchouli, Tonka Bean | Accords: Powdery, Earthy, Fruity"
Midnight Wood No.356,0.21,Fall,Any,Day,Often,Long,"Sea Salt, Grapefruit | Violet, Nutmeg | Sandalwood, Amber, Cedarwood | Accords: Smoky, Powdery, Aquatic"
Neon Petal No.357,0.33,Spring,Male,Night,Often,Long,"Blackcurrant, Lavender | Geranium, Jasmine | Musk, Cedarwood, Tonka Bean | Accords: Spicy, Floral, Earthy"
Lunar Wood No.358,0.64,Summer,Male,Night,Occasionally,Short,"Mandarin, Lavender | Cardamom, Iris | Amber, Patchouli, Tonka Bean | Accords: Woody, Smoky, Fresh"
Neon Spice No.359,0.14,Summer,Any,Night,Often,Short,"Peach, Bergamot | Geranium, Lily of the Valley | Oakmoss, Leather, Patchouli | Accords: Fresh, Powdery, Spicy"
Velvet Spice No.360,0.69,Summer,Any,Night,Occasionally,Short,"Blackcurrant, Pink Pepper | Iris, Clary Sage | Oud, Leather, Tonka Bean | Accords: Woody, Fruity, Fresh"
Midnight Dream No.361,0.67,Winter,Female,Day,Occasionally,Short,"Lavender, Sea Salt | Lily of the Valley, Clary Sage | Amber, Incense, Sandalwood | Accords: Smoky, Fresh, Fruity"
Ocean Storm No.362,0.86,Winter,Female,Day,Occasionally,Long,"Sea Salt, Pineapple | Violet, Geranium | Musk, Patchouli, Vetiver | Accords: Spicy, Citrus, Woody"
Desert Spice No.363,0.85,Fall,Female,Night,Often,Short,"Bergamot, Mint | Cinnamon, Freesia | Patchouli, Leather, Musk | Accords: Citrus, Gourmand, Floral"
Golden Storm No.364,0.01,Winter,Female,Day,Occasionally,Long,"Grapefruit, Apple | Lily of the Valley, Rose | Oakmoss, Vetiver, Amber | Accords: Earthy, Floral, Gourmand"
Azure Water No.365,0.93,Fall,Any,Day,Occasionally,Long,"Pineapple, Peach | Clary Sage, Geranium | Incense, Tonka Bean, Cedarwood | Accords: Spicy, Woody, Aquatic"
Desert Shadow No.366,0.75,Fall,Female,Day,Often,Short,"Mint, Apple | Iris, Rose | Incense, Vetiver, Vanilla | Accords: Earthy, Fruity, Powdery"
Neon Fire No.367,0.17,Fall,Female,Day,Often,Short,"Lemon, Mint | Lily of the Valley, Cinnamon | Leather, Incense, Amber | Accords: Gourmand, Aquatic, Woody"
Golden Water No.368,0.67,Spring,Female,Night,Occasionally,Long,"Lemon, Apple | Nutmeg, Orchid | Sandalwood, Oud, Vetiver | Accords: Spicy, Powdery, Earthy"
Midnight Spice No.369,0.73,Summer,Male,Day,Often,Short,"Lavender, Pink Pepper | Iris, Nutmeg | Patchouli, Vetiver, Incense | Accords: Spicy, Fresh, Fruity"
Crimson Storm No.370,0.33,Winter,Male,Night,Often,Short,"Apple, Bergamot | Cinnamon, Jasmine | Vetiver, Oud, Musk | Accords: Woody, Smoky, Fresh"
Secret Rose No.371,0.28,Summer,Male,Night,Often,Short,"Grapefruit, Pineapple | Cinnamon, Freesia | Vetiver, Incense, Vanilla | Accords: Gourmand, Spicy, Woody"
Crimson Soul No.372,0.58,Winter,Any,Day,Often,Long,"Lemon, Mint | Rose, Cardamom | Vetiver, Sandalwood, Patchouli | Accords: Fresh, Spicy, Earthy"
Ocean Elixir No.373,0.5,Winter,Any,Day,Occasionally,Short,"Grapefruit, Apple | Freesia, Geranium | Vetiver, Sandalwood, Vanilla | Accords: Fruity, Smoky, Earthy"
Crimson Petal No.374,0.93,Fall,Male,Night,Often,Short,"Mandarin, Blackcurrant | Rose, Jasmine | Cedarwood, Incense, Tonka Bean | Accords: Fruity, Aquatic, Smoky"
Urban Spice No.375,0.8,Spring,Female,Day,Occasionally,Long,"Sea Salt, Blackcurrant | Violet, Iris | Amber, Vanilla, Incense | Accords: Fresh, Fruity, Earthy"
Wild Breeze No.376,0.91,Winter,Any,Night,Occasionally,Long,"Sea Salt, Lemon | Geranium, Jasmine | Musk, Amber, Incense | Accords: Fresh, Smoky, Gourmand"
Mystic Wood No.377,0.98,Spring,Any,Day,Occasionally,Short,"Bergamot, Mint | Jasmine, Cardamom | Vetiver, Leather, Sandalwood | Accords: Spicy, Gourmand, Powdery"
Urban Nectar No.378,0.68,Winter,Any,Night,Occasionally,Long,"Grapefruit, Peach | Cinnamon, Orchid | Cedarwood, Sandalwood, Musk | Accords: Floral, Powdery, Green"
Crimson Wood No.379,0.49,Spring,Any,Day,Often,Long,"Peach, Lavender | Lily of the Valley, Clary Sage | Vetiver, Cedarwood, Oakmoss | Accords: Powdery, Earthy, Smoky"
Crystal Wood No.380,0.43,Fall,Female,Day,Often,Short,"Lemon, Mandarin | Orchid, Iris | Musk, Vetiver, Oakmoss | Accords: Aquatic, Gourmand, Citrus"
Lunar Storm No.381,0.66,Winter,Female,Night,Occasionally,Short,"Mint, Grapefruit | Rose, Clary Sage | Musk, Oud, Incense | Accords: Fresh, Green, Woody"
Phantom Water No.382,0.66,Summer,Any,Night,Often,Short,"Pineapple, Mandarin | Orchid, Iris | Cedarwood, Musk, Leather | Accords: Aquatic, Fresh, Powdery"
Urban Amber No.383,0.05,Summer,Female,Night,Occasionally,Long,"Pineapple, Blackcurrant | Jasmine, Nutmeg | Tonka Bean, Musk, Incense | Accords: Woody, Aquatic, Smoky"
Golden Orchid No.384,0.35,Fall,Any,Day,Often,Short,"Pink Pepper, Pineapple | Freesia, Orchid | Musk, Tonka Bean, Cedarwood | Accords: Aquatic, Smoky, Woody"
Wild Dream No.385,0.42,Summer,Any,Day,Often,Long,"Grapefruit, Mint | Freesia, Rose | Tonka Bean, Sandalwood, Oud | Accords: Floral, Gourmand, Woody"
Crystal Oud No.386,0.86,Fall,Male,Day,Often,Long,"Peach, Blackcurrant | Iris, Freesia | Cedarwood, Vanilla, Patchouli | Accords: Woody, Floral, Fresh"
Lunar Wood No.387,0.66,Summer,Any,Day,Occasionally,Long,"Lemon, Mandarin | Violet, Iris | Oakmoss, Amber, Musk | Accords: Gourmand, Spicy, Fruity"
Crimson Musk No.388,0.88,Winter,Female,Day,Occasionally,Long,"Bergamot, Pineapple | Freesia, Rose | Vanilla, Musk, Incense | Accords: Smoky, Woody, Citrus"
Midnight Dream No.389,0.62,Winter,Male,Day,Often,Short,"Pink Pepper, Sea Salt | Lily of the Valley, Geranium | Vetiver, Oakmoss, Leather | Accords: Woody, Fruity, Gourmand"
Azure Rose No.390,0.72,Summer,Any,Night,Often,Short,"Blackcurrant, Grapefruit | Clary Sage, Nutmeg | Sandalwood, Vanilla, Vetiver | Accords: Green, Smoky, Citrus"
Velvet Breeze No.391,0.75,Summer,Female,Night,Often,Long,"Peach, Blackcurrant | Lily of the Valley, Rose | Vanilla, Sandalwood, Vetiver | Accords: Aquatic, Earthy, Powdery"
Lunar Petal No.392,0.07,Fall,Female,Day,Occasionally,Short,"Lemon, Sea Salt | Orchid, Lily of the Valley | Oakmoss, Vetiver, Vanilla | Accords: Earthy, Aquatic, Powdery"
Phantom Breeze No.393,0.38,Winter,Any,Night,Often,Short,"Mint, Blackcurrant | Clary Sage, Freesia | Tonka Bean, Leather, Incense | Accords: Earthy, Woody, Spicy"
Astral Fire No.394,0.1,Fall,Any,Night,Occasionally,Long,"Pineapple, Mandarin | Lily of the Valley, Geranium | Vetiver, Tonka Bean, Cedarwood | Accords: Floral, Fresh, Woody"
Mystic Amber No.395,0.3,Fall,Female,Night,Often,Short,"Mint, Mandarin | Geranium, Clary Sage | Tonka Bean, Patchouli, Incense | Accords: Floral, Green, Fresh"
Urban Oud No.396,0.2,Summer,Male,Day,Often,Short,"Peach, Lavender | Cardamom, Iris | Vanilla, Cedarwood, Tonka Bean | Accords: Fresh, Gourmand, Floral"
Crimson Orchid No.397,0.08,Winter,Male,Day,Occasionally,Short,"Mandarin, Lavender | Nutmeg, Clary Sage | Tonka Bean, Leather, Oakmoss | Accords: Powdery, Floral, Earthy"
Golden Soul No.398,0.01,Winter,Any,Day,Often,Long,"Lemon, Bergamot | Nutmeg, Iris | Incense, Tonka Bean, Vetiver | Accords: Powdery, Spicy, Smoky"
Neon Musk No.399,0.24,Fall,Male,Night,Often,Long,"Lemon, Sea Salt | Cardamom, Nutmeg | Oakmoss, Sandalwood, Cedarwood | Accords: Aquatic, Smoky, Gourmand"
Midnight Nectar No.400,0.75,Summer,Any,Night,Often,Long,"Peach, Mint | Lily of the Valley, Cinnamon | Vetiver, Amber, Cedarwood | Accords: Smoky, Aquatic, Earthy"
Phantom Breeze No.401,0.09,Spring,Female,Night,Often,Long,"Pink Pepper, Lavender | Jasmine, Cinnamon | Oakmoss, Cedarwood, Vetiver | Accords: Smoky, Gourmand, Earthy"
Solar Soul No.402,0.81,Spring,Male,Day,Occasionally,Short,"Sea Salt, Bergamot | Geranium, Cardamom | Tonka Bean, Musk, Incense | Accords: Gourmand, Powdery, Fresh"
Secret Petal No.403,0.8,Summer,Any,Night,Often,Long,"Apple, Sea Salt | Nutmeg, Cinnamon | Musk, Vetiver, Cedarwood | Accords: Fresh, Green, Floral"
Golden Rose No.404,0.33,Fall,Male,Day,Occasionally,Short,"Pineapple, Grapefruit | Iris, Nutmeg | Incense, Amber, Leather | Accords: Gourmand, Aquatic, Woody"
Lunar Amber No.405,0.66,Summer,Male,Day,Often,Long,"Mint, Lemon | Violet, Cinnamon | Incense, Patchouli, Oakmoss | Accords: Fruity, Powdery, Citrus"
Midnight Soul No.406,0.2,Summer,Male,Night,Often,Short,"Bergamot, Peach | Jasmine, Cinnamon | Vanilla, Musk, Incense | Accords: Smoky, Aquatic, Spicy"
Wild Orchid No.407,0.98,Fall,Male,Day,Often,Short,"Pink Pepper, Mint | Freesia, Cinnamon | Musk, Tonka Bean, Oud | Accords: Green, Fresh, Powdery"
Neon Nectar No.408,0.31,Summer,Female,Night,Occasionally,Long,"Mint, Mandarin | Clary Sage, Geranium | Cedarwood, Sandalwood, Musk | Accords: Green, Spicy, Fresh"
Secret Orchid No.409,0.71,Spring,Male,Day,Occasionally,Long,"Grapefruit, Peach | Nutmeg, Clary Sage | Oakmoss, Incense, Cedarwood | Accords: Smoky, Aquatic, Spicy"
Phantom Elixir No.410,0.54,Fall,Female,Night,Often,Long,"Pink Pepper, Sea Salt | Cardamom, Violet | Vanilla, Oakmoss, Incense | Accords: Powdery, Smoky, Gourmand"
Velvet Amber No.411,0.83,Fall,Male,Day,Often,Long,"Lavender, Mint | Freesia, Orchid | Leather, Musk, Vetiver | Accords: Fresh, Woody, Smoky"
Velvet Wood No.412,0.11,Summer,Any,Day,Occasionally,Short,"Apple, Grapefruit | Orchid, Jasmine | Musk, Oud, Sandalwood | Accords: Green, Earthy, Woody"
Crystal Shadow No.413,0.08,Spring,Male,Night,Often,Short,"Sea Salt, Lavender | Geranium, Rose | Vanilla, Patchouli, Oakmoss | Accords: Fresh, Floral, Citrus"
Lunar Wood No.414,0.86,Spring,Any,Night,Occasionally,Long,"Pineapple, Lavender | Cardamom, Nutmeg | Tonka Bean, Leather, Incense | Accords: Aquatic, Gourmand, Fruity"
Velvet Rose No.415,0.94,Summer,Female,Day,Often,Short,"Bergamot, Blackcurrant | Cinnamon, Cardamom | Oakmoss, Tonka Bean, Musk | Accords: Citrus, Smoky, Fresh"
Crystal Orchid No.416,0.26,Summer,Female,Day,Occasionally,Long,"Blackcurrant, Pineapple | Geranium, Nutmeg | Vetiver, Leather, Cedarwood | Accords: Fruity, Fresh, Woody"
Mystic Shadow No.417,0.79,Summer,Any,Night,Occasionally,Long,"Mint, Pineapple | Lily of the Valley, Jasmine | Cedarwood, Vanilla, Oud | Accords: Spicy, Fresh, Powdery"
Midnight Fire No.418,0.77,Spring,Female,Night,Occasionally,Short,"Grapefruit, Peach | Orchid, Cardamom | Sandalwood, Oud, Cedarwood | Accords: Gourmand, Fruity, Fresh"
Desert Petal No.419,0.95,Spring,Female,Day,Occasionally,Long,"Mint, Apple | Lily of the Valley, Iris | Vanilla, Musk, Leather | Accords: Citrus, Gourmand, Powdery"
Royal Spice No.420,0.11,Fall,Male,Day,Often,Short,"Mandarin, Pineapple | Iris, Cardamom | Amber, Leather, Oakmoss | Accords: Fruity, Woody, Gourmand"
Desert Orchid No.421,0.61,Winter,Male,Night,Often,Short,"Lavender, Blackcurrant | Lily of the Valley, Iris | Tonka Bean, Musk, Patchouli | Accords: Fruity, Woody, Fresh"
Ocean Oud No.422,0.31,Fall,Male,Day,Often,Long,"Peach, Lemon | Clary Sage, Jasmine | Vanilla, Sandalwood, Cedarwood | Accords: Green, Floral, Fruity"
Azure Musk No.423,0.27,Winter,Male,Night,Occasionally,Short,"Mint, Mandarin | Iris, Violet | Cedarwood, Patchouli, Oud | Accords: Spicy, Fruity, Smoky"
Golden Orchid No.424,0.94,Winter,Any,Day,Often,Long,"Pink Pepper, Mint | Lily of the Valley, Orchid | Cedarwood, Musk, Vetiver | Accords: Smoky, Citrus, Floral"
Golden Dream No.425,0.48,Fall,Any,Night,Occasionally,Long,"Mandarin, Mint | Geranium, Rose | Musk, Leather, Sandalwood | Accords: Floral, Woody, Fruity"
Velvet Water No.426,0.13,Winter,Any,Night,Occasionally,Short,"Blackcurrant, Mandarin | Orchid, Clary Sage | Leather, Oakmoss, Vanilla | Accords: Fresh, Woody, Floral"
Velvet Storm No.427,0.04,Winter,Female,Day,Occasionally,Short,"Apple, Grapefruit | Geranium, Cinnamon | Oakmoss, Sandalwood, Patchouli | Accords: Woody, Floral, Fruity"
Crystal Musk No.428,0.92,Winter,Any,Night,Often,Long,"Blackcurrant, Bergamot | Cinnamon, Nutmeg | Vetiver, Patchouli, Oakmoss | Accords: Smoky, Floral, Gourmand"
Crimson Dream No.429,0.96,Summer,Female,Night,Occasionally,Long,"Blackcurrant, Apple | Freesia, Rose | Oakmoss, Leather, Vanilla | Accords: Woody, Aquatic, Citrus"
Royal Orchid No.430,0.78,Winter,Any,Day,Occasionally,Short,"Grapefruit, Bergamot | Iris, Jasmine | Vetiver, Amber, Musk | Accords: Aquatic, Citrus, Woody"
Lunar Spice No.431,0.59,Summer,Any,Day,Occasionally,Short,"Lemon, Sea Salt | Cardamom, Geranium | Tonka Bean, Patchouli, Amber | Accords: Earthy, Fresh, Floral"
Azure Fire No.432,0.59,Winter,Any,Night,Occasionally,Short,"Mint, Mandarin | Cinnamon, Lily of the Valley | Tonka Bean, Incense, Sandalwood | Accords: Earthy, Smoky, Floral"
Lunar Nectar No.433,0.78,Spring,Any,Day,Often,Long,"Lavender, Pink Pepper | Freesia, Cardamom | Sandalwood, Amber, Leather | Accords: Fruity, Aquatic, Floral"
Astral Storm No.434,0.43,Summer,Male,Day,Occasionally,Short,"Mandarin, Pineapple | Nutmeg, Cardamom | Vanilla, Musk, Leather | Accords: Green, Smoky, Fruity"
Lunar Elixir No.435,0.83,Fall,Any,Night,Often,Long,"Sea Salt, Bergamot | Geranium, Iris | Vetiver, Patchouli, Musk | Accords: Fresh, Woody, Green"
Lunar Night No.436,0.91,Fall,Any,Night,Occasionally,Long,"Apple, Mint | Freesia, Orchid | Oakmoss, Musk, Incense | Accords: Floral, Smoky, Fresh"
Mystic Dream No.437,0.44,Spring,Any,Night,Occasionally,Long,"Sea Salt, Peach | Violet, Jasmine | Vetiver, Tonka Bean, Amber | Accords: Fruity, Fresh, Floral"
Astral Oud No.438,0.29,Fall,Male,Night,Often,Short,"Bergamot, Pineapple | Freesia, Lily of the Valley | Cedarwood, Tonka Bean, Patchouli | Accords: Spicy, Citrus, Powdery"
Midnight Musk No.439,0.09,Fall,Any,Night,Often,Short,"Apple, Lavender | Jasmine, Violet | Musk, Incense, Leather | Accords: Spicy, Floral, Powdery"
Crimson Water No.440,0.68,Spring,Male,Night,Occasionally,Long,"Bergamot, Peach | Jasmine, Lily of the Valley | Incense, Amber, Sandalwood | Accords: Spicy, Citrus, Fresh"
Azure Storm No.441,0.65,Summer,Any,Night,Often,Long,"Peach, Bergamot | Iris, Rose | Amber, Incense, Cedarwood | Accords: Gourmand, Smoky, Citrus"
Neon Oud No.442,0.36,Spring,Male,Night,Occasionally,Short,"Blackcurrant, Lavender | Orchid, Clary Sage | Oakmoss, Musk, Cedarwood | Accords: Woody, Green, Spicy"
Ocean Amber No.443,0.52,Winter,Any,Day,Often,Short,"Pink Pepper, Grapefruit | Freesia, Violet | Cedarwood, Amber, Oud | Accords: Powdery, Fruity, Woody"
Azure Rose No.444,0.97,Spring,Female,Night,Often,Long,"Blackcurrant, Lavender | Iris, Orchid | Oud, Leather, Incense | Accords: Spicy, Smoky, Earthy"
Wild Storm No.445,0.89,Summer,Any,Night,Often,Long,"Bergamot, Blackcurrant | Rose, Violet | Amber, Oakmoss, Oud | Accords: Woody, Floral, Fruity"
Mystic Spice No.446,0.23,Winter,Male,Night,Often,Short,"Apple, Pink Pepper | Jasmine, Cardamom | Sandalwood, Incense, Vanilla | Accords: Green, Citrus, Powdery"
Solar Musk No.447,0.32,Summer,Any,Day,Occasionally,Long,"Lavender, Apple | Jasmine, Geranium | Vanilla, Patchouli, Leather | Accords: Gourmand, Woody, Aquatic"
Crystal Elixir No.448,0.41,Winter,Any,Day,Often,Short,"Pink Pepper, Apple | Freesia, Rose | Incense, Vanilla, Cedarwood | Accords: Citrus, Woody, Green"
Golden Soul No.449,0.95,Summer,Female,Day,Often,Short,"Grapefruit, Mint | Geranium, Rose | Oakmoss, Leather, Sandalwood | Accords: Green, Fruity, Floral"
Astral Rose No.450,0.41,Summer,Female,Day,Occasionally,Short,"Mandarin, Grapefruit | Orchid, Geranium | Cedarwood, Leather, Tonka Bean | Accords: Fresh, Woody, Aquatic"
Lunar Elixir No.451,0.41,Fall,Any,Night,Often,Short,"Blackcurrant, Grapefruit | Nutmeg, Jasmine | Incense, Musk, Amber | Accords: Green, Earthy, Aquatic"
Midnight Petal No.452,0.42,Summer,Female,Night,Often,Long,"Mint, Pink Pepper | Cinnamon, Orchid | Incense, Patchouli, Vanilla | Accords: Gourmand, Citrus, Fruity"
Astral Elixir No.453,0.54,Winter,Female,Day,Occasionally,Long,"Lavender, Blackcurrant | Iris, Geranium | Incense, Sandalwood, Cedarwood | Accords: Spicy, Gourmand, Aquatic"
Midnight Elixir No.454,0.15,Summer,Any,Night,Occasionally,Short,"Blackcurrant, Sea Salt | Lily of the Valley, Geranium | Patchouli, Incense, Vanilla | Accords: Earthy, Fresh, Spicy"
Crimson Nectar No.455,0.06,Winter,Female,Night,Often,Long,"Blackcurrant, Mint | Geranium, Cinnamon | Musk, Leather, Cedarwood | Accords: Green, Floral, Earthy"
Azure Soul No.456,0.24,Fall,Any,Night,Occasionally,Short,"Blackcurrant, Lemon | Rose, Cardamom | Vetiver, Amber, Musk | Accords: Aquatic, Citrus, Gourmand"
Midnight Soul No.457,0.61,Winter,Female,Night,Often,Long,"Blackcurrant, Pineapple | Lily of the Valley, Orchid | Leather, Incense, Patchouli | Accords: Fruity, Aquatic, Spicy"
Neon Elixir No.458,0.28,Spring,Female,Night,Often,Short,"Apple, Pineapple | Lily of the Valley, Orchid | Oud, Musk, Vetiver | Accords: Woody, Smoky, Floral"
Mystic Shadow No.459,0.17,Fall,Female,Day,Often,Short,"Apple, Pineapple | Geranium, Nutmeg | Musk, Incense, Oakmoss | Accords: Fruity, Green, Fresh"
Astral Elixir No.460,0.45,Winter,Any,Night,Often,Long,"Bergamot, Mandarin | Geranium, Clary Sage | Leather, Vanilla, Oakmoss | Accords: Gourmand, Powdery, Spicy"
Velvet Petal No.461,0.01,Spring,Male,Night,Often,Long,"Blackcurrant, Pineapple | Orchid, Violet | Musk, Cedarwood, Amber | Accords: Gourmand, Smoky, Powdery"
Ocean Dream No.462,0.06,Summer,Any,Day,Occasionally,Short,"Pink Pepper, Mint | Clary Sage, Cardamom | Patchouli, Cedarwood, Amber | Accords: Green, Spicy, Aquatic"
Crystal Musk No.463,0.02,Fall,Male,Night,Occasionally,Short,"Mint, Pineapple | Nutmeg, Cinnamon | Leather, Patchouli, Vanilla | Accords: Aquatic, Fruity, Earthy"
Desert Night No.464,0.69,Spring,Any,Night,Often,Short,"Peach, Lavender | Iris, Rose | Oakmoss, Leather, Sandalwood | Accords: Aquatic, Gourmand, Smoky"
Golden Water No.465,0.48,Winter,Male,Day,Occasionally,Short,"Mint, Bergamot | Violet, Geranium | Patchouli, Sandalwood, Oakmoss | Accords: Spicy, Floral, Citrus"
Mystic Storm No.466,0.29,Fall,Any,Day,Often,Short,"Lavender, Peach | Iris, Violet | Incense, Leather, Sandalwood | Accords: Fresh, Smoky, Powdery"
Golden Storm No.467,0.43,Spring,Any,Day,Occasionally,Long,"Lemon, Bergamot | Violet, Freesia | Cedarwood, Sandalwood, Musk | Accords: Spicy, Fresh, Powdery"
Urban Storm No.468,0.17,Fall,Female,Night,Occasionally,Long,"Pink Pepper, Mint | Lily of the Valley, Rose | Leather, Amber, Sandalwood | Accords: Gourmand, Green, Powdery"
Mystic Elixir No.469,0.88,Winter,Male,Night,Occasionally,Short,"Mandarin, Pineapple | Clary Sage, Rose | Musk, Incense, Tonka Bean | Accords: Green, Gourmand, Smoky"
Neon Amber No.470,0.96,Winter,Male,Night,Often,Short,"Bergamot, Mint | Violet, Cinnamon | Patchouli, Oud, Cedarwood | Accords: Fresh, Earthy, Gourmand"
Solar Water No.471,0.43,Summer,Female,Day,Often,Long,"Pineapple, Sea Salt | Clary Sage, Rose | Musk, Vetiver, Patchouli | Accords: Fruity, Woody, Earthy"
Solar Oud No.472,0.57,Summer,Male,Day,Often,Short,"Mandarin, Grapefruit | Cinnamon, Clary Sage | Leather, Tonka Bean, Musk | Accords: Woody, Earthy, Citrus"
Urban Rose No.473,0.78,Summer,Female,Day,Occasionally,Short,"Peach, Blackcurrant | Violet, Rose | Vetiver, Incense, Cedarwood | Accords: Woody, Spicy, Citrus"
Astral Shadow No.474,0.79,Fall,Female,Night,Occasionally,Long,"Lemon, Blackcurrant | Jasmine, Iris | Musk, Leather, Vetiver | Accords: Smoky, Fresh, Citrus"
Phantom Nectar No.475,0.93,Spring,Male,Night,Occasionally,Short,"Peach, Mint | Lily of the Valley, Geranium | Vetiver, Tonka Bean, Cedarwood | Accords: Green, Woody, Floral"
Urban Night No.476,0.38,Fall,Male,Day,Often,Short,"Mandarin, Bergamot | Lily of the Valley, Cardamom | Sandalwood, Vanilla, Tonka Bean | Accords: Green, Floral, Fresh"
Solar Breeze No.477,0.12,Fall,Male,Night,Often,Long,"Mint, Pineapple | Geranium, Orchid | Cedarwood, Vetiver, Incense | Accords: Citrus, Fresh, Woody"
Midnight Petal No.478,0.28,Spring,Any,Day,Occasionally,Short,"Grapefruit, Peach | Jasmine, Cardamom | Oakmoss, Cedarwood, Incense | Accords: Smoky, Earthy, Spicy"
Velvet Amber No.479,0.39,Winter,Male,Day,Occasionally,Long,"Blackcurrant, Peach | Iris, Clary Sage | Vetiver, Sandalwood, Oakmoss | Accords: Fresh, Citrus, Smoky"
Urban Spice No.480,0.1,Spring,Any,Night,Occasionally,Long,"Blackcurrant, Pineapple | Violet, Freesia | Incense, Oud, Sandalwood | Accords: Fruity, Fresh, Aquatic"
Lunar Water No.481,0.15,Summer,Female,Day,Occasionally,Short,"Pink Pepper, Mint | Violet, Lily of the Valley | Patchouli, Vetiver, Sandalwood | Accords: Spicy, Earthy, Aquatic"
Solar Spice No.482,0.91,Fall,Female,Night,Often,Long,"Mint, Lemon | Nutmeg, Freesia | Patchouli, Amber, Tonka Bean | Accords: Earthy, Green, Powdery"
Azure Musk No.483,0.34,Fall,Female,Night,Often,Short,"Mandarin, Grapefruit | Freesia, Rose | Leather, Vanilla, Oud | Accords: Green, Gourmand, Powdery"
Midnight Amber No.484,0.56,Summer,Female,Day,Occasionally,Short,"Sea Salt, Mandarin | Rose, Clary Sage | Sandalwood, Tonka Bean, Patchouli | Accords: Earthy, Citrus, Aquatic"
Velvet Soul No.485,0.59,Summer,Male,Day,Occasionally,Long,"Pink Pepper, Lavender | Violet, Geranium | Oud, Patchouli, Vanilla | Accords: Citrus, Aquatic, Woody"
Crystal Soul No.486,0.29,Winter,Female,Night,Occasionally,Long,"Lemon, Blackcurrant | Orchid, Clary Sage | Oud, Patchouli, Amber | Accords: Green, Smoky, Spicy"
Lunar Wood No.487,0.36,Summer,Male,Night,Often,Long,"Apple, Bergamot | Freesia, Geranium | Oud, Patchouli, Tonka Bean | Accords: Woody, Fresh, Green"
Secret Storm No.488,0.93,Fall,Any,Night,Often,Long,"Pineapple, Bergamot | Nutmeg, Clary Sage | Amber, Musk, Vetiver | Accords: Woody, Powdery, Fresh"
