event_type,time_of_day,mood,fragrance_id,name,brand,retrieval_text,relevance_score
Date Night,Afternoon,Bold,13017,Enchanted Jasmine Ensar Oud / Oriscent Attar,Ensar Oud / Oriscent,"Enchanted Jasmine Ensar Oud / Oriscent Attar by Ensar Oud / Oriscent | Notes: Basil, Lavender, Mango, Raspberry | Jasmine, Jasmine sambac, Jasminum grandiflorum | Ambergris, Bourbon vanilla, Musk, Orris root, Oud, Sandalwood",0.8
Date Night,Afternoon,Bold,2715,Anything Goes,Heymountain Cosmetics,"Anything Goes by Heymountain Cosmetics | Notes: Blood orange, Bergamot | Rose, Jasmine | Balsamic notes",0.6
Date Night,Afternoon,Bold,26891,Parfums de Marly Layton Exclusif EDP,Parfums de Marly,"Parfums de Marly Layton Exclusif EDP by Parfums de Marly | Notes: Almond, Mandarin Orange, Bergamot, Watery Notes | Civet, Geranium, Rose, Gardenia, Water Lily | Guaiac Wood, Laotian Oud, Vanilla, Coffee, Sandalwood, Indonesian Patchouli Leaf, Oakmoss, Amber, Pink Pepper",0.9
Date Night,Afternoon,Bold,1545,Allegra infused Vanilla,Aldi / Hofer,"Allegra infused Vanilla by Aldi / Hofer | Notes: Bergamot, Freesia, Rust | Labdanum, Tonka bean | Amber, Vanilla, Cedarwood",0.3
Date Night,Afternoon,Bold,25281,New Brand,New Brand,"New Brand by New Brand | Notes: Aldehydes, Bergamot | Rose, Ylang-ylang | Musk, Vetiver",0.5
Business,Afternoon,Warm,32397,Tiffany for Men Tiffany & Co. 1989 Cologne Concentrée,Tiffany & Co.,"Tiffany for Men Tiffany & Co. 1989 Cologne Concentrée by Tiffany & Co. | Notes: Cardamom, Green notes, Lemon, Bergamot, Lavender, Mandarin orange | Cinnamon, Aniseed, Carnation, Cedarwood, Jasmine, Nutmeg, Orris root, Patchouli, Rose, Sandalwood | Vanilla, Amber, Frankincense, Oakmoss, Tonka bean",0.7
Business,Afternoon,Warm,12587,Egyptian Musk Attar,Ensar Oud / Oriscent,"Egyptian Musk Attar by Ensar Oud / Oriscent | Notes: Carrot seed, Ginger, Pink pepper, Yuzu | Cedarwood, Jasmine, Narcissus, Tuberose | Indonesian oud, Bourbon vetiver, Castoreum, Mysore sandalwood, Patchouli, Sandalwood, Tibetan deer musk, Timor sandalwood",0.3
Business,Afternoon,Warm,4179,Azzaro 9 Azzaro 1984 Eau de Toilette,Azzaro,"Azzaro 9 Azzaro 1984 Eau de Toilette by Azzaro | Notes: Aldehydes, Pineapple, Bergamot, Mandarin orange | Lily, Tulip, Lily of the valley, Mimosa, Caraway, Dyer's-broom, Orange blossom, Rose, Tuberose, Wisteria, Ylang-ylang, Jasmine | Cedar, Oakmoss, Frankincense, Musk, Sandalwood, Vanilla",0.6
Business,Afternoon,Warm,7265,California Rêverie,Van Cleef & Arpels,"California Rêverie by Van Cleef & Arpels | Notes: Neroli, Mandarin orange | Jasmine, Frangipani | Beeswax, Vanilla",0.5
Business,Afternoon,Warm,25750,N° 1847 Western Valley Body Spray,Western Valley,"N° 1847 Western Valley Body Spray by Western Valley | Notes: Jasmine, Orange, Ylang-ylang | Iris, Musk, Vetiver | Cardamom, Cashmere wood, Cedar, Oud, Patchouli, Spices",0.4
Business,Morning,Subtle,4393,Baladin,Nicolaï / Parfums de Nicolaï,"Baladin by Nicolaï / Parfums de Nicolaï | Notes: Grapefruit, Mint, Thyme | Rosemary, Vetiver, Birch | Vanilla, Leathery notes",0.7
Business,Morning,Subtle,10730,Davidoff Champion,Davidoff,"Davidoff Champion by Davidoff | Notes: Bergamot, Lemon | Sage, Galbanum | Oakmoss, Cedar",0.6
Business,Morning,Subtle,6817,Bukhoor,Suhad Perfumes / سهاد,Bukhoor by Suhad Perfumes / سهاد | Notes: Oud | White musk | Oud,0.0
Business,Morning,Subtle,35172,Wood de Amber,Sunnamusk,"Wood de Amber by Sunnamusk | Notes: Cardamom, Davana, Lavender | Cedar, Iris | Amber, Patchouli",0.5
Business,Morning,Subtle,35706,Zigane Tzigane,Corday,"Zigane Tzigane by Corday | Notes: Hyssop, Maté, Black pepper | Cedarwood, Frankincense, Myrtle, Sandalwood | Labdanum, Amber, Myrrh, Benzoin",0.3
Festival,Afternoon,Warm,30186,Sempre Mio,Pantheon,"Sempre Mio by Pantheon | Notes: Milk, Strawberry, Cinnamon | Saffron, Vanilla, Patchouli | Musk, Oud, Vanilla, Amber, Sandalwood",0.8
Festival,Afternoon,Warm,33565,Urbanist Homme,Al Haramain / الحرمين,"Urbanist Homme by Al Haramain / الحرمين | Notes: Petitgrain, Lemon, Orange | Lavender, Jasmine, Rosemary | Musk, Sandalwood, Tonka bean, Amber",0.6
Festival,Afternoon,Warm,16443,Grapefruit Lime,The 7 Virtues,"Grapefruit Lime by The 7 Virtues | Notes: Lemon, Lime, Orange, Petitgrain | Bamboo, Cumin, Green tea, Juniper, Lily of the valley, Neroli | Amber, Cedarwood, Moss, Sandalwood",0.3
Festival,Afternoon,Warm,21334,Le Beau Mâle Summer Fragrance 2014,Jean Paul Gaultier,"Le Beau Mâle Summer Fragrance 2014 by Jean Paul Gaultier | Notes: Mint, Absinth | Lavender, Orange blossom, Sage | Musk",0.2
Festival,Afternoon,Warm,15825,Ginger Beer,Jo Malone,"Ginger Beer by Jo Malone | Notes: Ginger | Amyris, Cinnamon | Roasted oak, Vetiver",0.5
Wedding,Afternoon,Mysterious,12566,Eglantine,Fragonard,"Eglantine by Fragonard | Notes: Blackcurrant, Italian mandarin orange, Lychee | Rose absolute, Wild rose, Raspberry | Virginia cedar, White amber, White musk",0.3
Wedding,Afternoon,Mysterious,26689,Overture Woman,Amouage,"Overture Woman by Amouage | Notes: Apple brandy, Saffron, Bergamot | Benzoin, Cinnamon, Myrrh, Rosa centifolia, Geranium | Leather, Labdanum, Frankincense",0.1
Wedding,Afternoon,Mysterious,10796,De-Gnoming the Garden,Bubble and Geek,"De-Gnoming the Garden by Bubble and Geek | Notes: Fresh notes, Filth | Blossoms | Cedarwood, Musk, Oak, Noxiousness",0.0
Wedding,Afternoon,Mysterious,33940,Velvet Black Patchouli,Dolce & Gabbana,"Velvet Black Patchouli by Dolce & Gabbana | Notes: Indian papyrus, Davana, Tarocco orange | Coriander seed, Tobacco, Clary sage, Musk, Bulgarian rose | Patchouli, Caramel, Spanish labdanum, Vanilla, Venezuelan tonka bean",0.4
Wedding,Afternoon,Mysterious,29735,Samsara Guerlain Rosée Parfumée Rafraichissante,Guerlain,"Samsara Guerlain Rosée Parfumée Rafraichissante by Guerlain | Notes: Ylang-ylang, Green notes, Peach, Bergamot, Lemon | Carnation, Jasmine, Narcissus, Orris root, Rose, Violet | Sandalwood, Tonka bean, Vanilla, Amber, Iris, Musk",0.6
Casual,Night,Warm,12434,Eau Trouble,Brecourt,"Eau Trouble by Brecourt | Notes: Frankincense, Carrot, Tangerine | Orange blossom, Heliotrope, Tea | Iris, Musk, Cedarwood, Vetiver",0.6
Casual,Night,Warm,6556,Bouquet Marie-Louise,Clubman / Edouard Pinaud,"Bouquet Marie-Louise by Clubman / Edouard Pinaud | Notes: Labdanum | Patchouli, Rose, Saffron | Cedar, Oud, Sandalwood, Filth",0.2
Casual,Night,Warm,14787,Florence,Roberto Cavalli,"Florence by Roberto Cavalli | Notes: Blackcurrant, Mandarin orange | Orange blossom, Grapefruit, Hibiscus seed | Patchouli, Amber, Musk",0.7
Casual,Night,Warm,16316,Golden,Fiorucci,"Golden by Fiorucci | Notes: Grapefruit, Mandarin orange, White peach, Blimfark | Apple blossom, Lily of the valley, Pink rose, Red rose | Amber, White musk, Trungle",0.5
Casual,Night,Warm,12621,El Oud,Anfas,"El Oud by Anfas | Notes: Amber | Hinoki wood, Civet, Cypriol, Gurjum balsam | Oud, Sandalwood, Tolu balm, Tonka bean, Vanilla",0.3
Wedding,Evening,Mysterious,33551,Urban Hero Gold Edition,Jimmy Choo,"Urban Hero Gold Edition by Jimmy Choo | Notes: Blood orange, Pineapple | Provençal lavender, Tonka bean | Oakmoss, Sandalwood",0.3
Wedding,Evening,Mysterious,25747,Nutmeg Cedar,Scentsmith Perfumery,"Nutmeg Cedar by Scentsmith Perfumery | Notes: Bergamot, Black pepper, Blood orange, Grapefruit, Mandarin orange, Petitgrain | Aniseed, Apple, Jasmine, Neroli, Nutmeg, Patchouli | Amber, Cedar, Moss, Musk, Sandalwood, Vetiver",0.6
Wedding,Evening,Mysterious,14002,Fanan,Junaid Perfumes,"Fanan by Junaid Perfumes | Notes: Mandarin orange, Orange | Freesia, Rose | White musk",0.2
Wedding,Evening,Mysterious,22443,Love Secrets,Dana,"Love Secrets by Dana | Notes: Blackcurrant, Mandarin orange, Orange, Pink grapefruit | Florentine iris, Jasmine, Jasmine sambac | Ambergris, Musk, Tonka bean, Vanilla",0.7
Wedding,Evening,Mysterious,22065,Lipstick Rose,Editions de Parfums Frédéric Malle,"Lipstick Rose by Editions de Parfums Frédéric Malle | Notes: Violet, Grapefruit | Rose, Iris, Raspberry | Vanilla, White musk",0.4
Gala,Night,Subtle,34691,Volare Moments,Oriflame,"Volare Moments by Oriflame | Notes: Pear, Rose, Violet leaf | Freesia, Magnolia, Osmanthus, Peony | Cedar, Iris, Musk, Sandalwood",0.6
Gala,Night,Subtle,6618,Brass & Soul,Zaharoff,"Brass & Soul by Zaharoff | Notes: Juniper, Aquatic notes, Aromatic notes, Citrus notes, Mandarin orange | Bourbon geranium, Cypress, Gin, Jasmine, Lily of the valley, Provençal lavender, Spicy notes | Amber, Bushman's candle, Cedarwood, Moss, Patchouli, Smoky notes, Suede, Vanilla",0.2
Gala,Night,Subtle,31189,Stars,Milton-Lloyd / Jean Yves Cosmetics,"Stars by Milton-Lloyd / Jean Yves Cosmetics | Notes: Bergamot, Red fruits, Rosewood, Tea, Grease | Jasmine tea, May rose, Milk, Neroli, Oolong tea, Mothball | Black tea, Haitian vetiver, Musk, Tobacco",0.3
Gala,Night,Subtle,27019,Patchouli 24 Le Labo 2006 Eau de Parfum,Le Labo,"Patchouli 24 Le Labo 2006 Eau de Parfum by Le Labo | Notes: Patchouli | Birch, Styrax | Vanilla",0.1
Gala,Night,Subtle,22855,Magnetic Candy,Fine'ry,"Magnetic Candy by Fine'ry | Notes: Bergamot, Mandarin orange, Green leaves, Grimtak | Tuberose, Jasmine | Vanilla, Sandalwood, Musk",0.5
Festival,Afternoon,Mysterious,6996,Bvlgari Man Black Orient,Bvlgari,"Bvlgari Man Black Orient by Bvlgari | Notes: Rum, Cardamom | Tuberose, Taif rose | Leather, Oud",0.7
Festival,Afternoon,Mysterious,5109,Bergamote Benjoin,Marcus Spurway,"Bergamote Benjoin by Marcus Spurway | Notes: Bergamot, Nutmeg | Coriander, Vanilla | Benzoin, Patchouli",0.6
Festival,Afternoon,Mysterious,13259,Ermanno Scervino For Woman EDP,Thameen Fragrance,"Ermanno Scervino For Woman EDP by Thameen Fragrance | Notes: Bergamot, Grapefruit, Ginger, Cardamom | Leather - Sambac jasmin - Cedar Wood - Styrax | Patchouli - Cedar Wood - Musk",0.5
Festival,Afternoon,Mysterious,4853,Beau Acute Armaf Perfume Oil,Armaf,"Beau Acute Armaf Perfume Oil by Armaf | Notes: Bergamot, Lemon, Orange, Petitgrain | Jasmine, Lavender, Rose, Rosemary, Sage | Cedarwood, Musk, Sandalwood, Vetiver",0.3
Festival,Afternoon,Mysterious,21059,Lancome Lavandes Trianon,Lancome,Lancome Lavandes Trianon by Lancome | Notes: Caramel,0.1
Gala,Afternoon,Mysterious,1241,Al Majed For Oud Haiba Green EDP,Al Majed For Oud,"Al Majed For Oud Haiba Green EDP by Al Majed For Oud | Notes: Lily of the valley | Flowers, Tonka bean | Amber",0.6
Gala,Afternoon,Mysterious,16551,Greene Street,Etro,"Greene Street by Etro | Notes: Pink pepper, Basil, Nutmeg | Frankincense, Violet, Geranium | Ambergris, Benzoin, Labdanum, Sandalwood",0.7
Gala,Afternoon,Mysterious,3610,Aspects of 2,Folie à Plusieurs,"Aspects of 2 by Folie à Plusieurs | Notes: Lime, Peppermint, Rum | Tea, Pelargonium, Swamp | Vetiver, Cedar",0.2
Gala,Afternoon,Mysterious,21199,Lattafa Raâ€™ed Luxe EDP,Lattafa,"Lattafa Raâ€™ed Luxe EDP by Lattafa | Notes: Pink Pepper, Juniper, Pineapple, Watermelon, Jasmine, Silk tree blossom | Lavender, Sage, Cinnamon, Herbal Notes | Chestnut, Ice, Tonka Bean, Vanilla, Vetiver, Sandalwood, Amber, Strawberry, Musk",0.5
Gala,Afternoon,Mysterious,7841,Cashmeran Vanilla,Alyssa Ashley,"Cashmeran Vanilla by Alyssa Ashley | Notes: Bergamot, Night-blooming jasmine | Vanilla, Iris, White amber | Cashmeran, Musk, Salted caramel, Patchouli",0.3
Gala,Evening,Mysterious,33986,Venetian Violet Flower Water,Crabtree & Evelyn,"Venetian Violet Flower Water by Crabtree & Evelyn | Notes: Raspberry, Lychee, Mandarin orange | Italian violet, Peach, White peony | Cedarwood, Iris, Musk",0.6
Gala,Evening,Mysterious,34108,Versense,Versace,"Versense by Versace | Notes: Bergamot, Green mandarin orange, Prickly pear | Sea lily, Cardamom, Jasmine | Musk, Cedarwood, Olive wood, Sandalwood",0.4
Gala,Evening,Mysterious,24073,Miss Dior Dior 2015 Parfum pour les Cheveux,Dior,"Miss Dior Dior 2015 Parfum pour les Cheveux by Dior | Notes: Bergamot | Egyptian jasminum grandiflorum, Rose | Indonesian patchouli, Musk",0.7
Gala,Evening,Mysterious,28178,QS by s.Oliver Male s.Oliver 2009 After Shave Lotion,s.Oliver,"QS by s.Oliver Male s.Oliver 2009 After Shave Lotion by s.Oliver | Notes: Apple, Bergamot, Red berries, Starfruit | Geranium, Lavender, Nutmeg | Amber, Musk, Patchouli, Vanilla",0.1
Gala,Evening,Mysterious,33870,Vanity Sweet Bouquet,Samouraï Woman / サムライウーマン,"Vanity Sweet Bouquet by Samouraï Woman / サムライウーマン | Notes: Bergamot, Grapefruit, Mandarin orange | Jasmine, Lily of the valley, Orange blossom, White rose | Cedarwood, Musk, Red apple",0.5
Casual,Evening,Fresh,12441,EAU/02 Tanto Amore,Zara,"EAU/02 Tanto Amore by Zara | Notes: Blood orange, Cardamom, Juniper berry | Iris, Lavender, Pepper, Sage | Cedarwood, Patchouli, Vanilla, Vetiver",0.6
Casual,Evening,Fresh,776,Agneta,Eight & Bob,"Agneta by Eight & Bob | Notes: Nutmeg, Frankincense, Cardamom, Pepper, Bergamot | Coffee, Magnolan®, Frankincense | Ambrocenide®, Musk, Sandalwood, Woods, Amber",0.3
Casual,Evening,Fresh,23757,Micallef Studio - MP2 Mascara,M. Micallef,"Micallef Studio - MP2 Mascara by M. Micallef | Notes: Bergamot, Grapefruit | Patchouli, Sandalwood, Vetiver | Oakmoss, White musk",0.7
Casual,Evening,Fresh,12690,Elie Saab Essence No.9 Tubereuse,Elie Saab,"Elie Saab Essence No.9 Tubereuse by Elie Saab | Notes: tuberose | bergamot, cinnamon | musk",0.1
Casual,Evening,Fresh,34467,Vie privée Yves Rocher 1989 Eau de Toilette,Yves Rocher,"Vie privée Yves Rocher 1989 Eau de Toilette by Yves Rocher | Notes: Ylang-ylang, Orange blossom | Freesia, Jasmine, Rose | Iris, Musk, Sandalwood",0.5
Casual,Night,Subtle,6379,Boss Bitch (V.2),Aaron Terence Hughes,"Boss Bitch (V.2) by Aaron Terence Hughes | Notes: Peach, Coconut, Neroli absolute, Oud | Jasmine sambac, Cherry, Chocolate, Rose absolute | Ambergris, Thai oud, Musk, Sandalwood, Patchouli, Vanilla absolute",0.2
Casual,Night,Subtle,6875,Burberry Summer for Men 2010,Burberry,"Burberry Summer for Men 2010 by Burberry | Notes: Mandarin orange | Juniper berry, Mint, Thyme, Driftwood, Furze | Cedar, Ambergris, Musk, Sandalwood",0.7
Casual,Night,Subtle,29366,Ruby Crown Cologne Eau De Cologne,Ruby Crown,Ruby Crown Cologne Eau De Cologne by Ruby Crown | Notes: Lemon flowers,0.6
Casual,Night,Subtle,26007,Old Dry,Alain Daniel,"Old Dry by Alain Daniel | Notes: Saffron, Cardamom, Woody notes, Malodor | Patchouli, Sandalwood | Oud, Amber, Musk",0.1
Casual,Night,Subtle,25255,Neroli Jasmin Ambre Blanc,Bon Parfumeur,"Neroli Jasmin Ambre Blanc by Bon Parfumeur | Notes: Powdery notes, Vanilla, Gymwear | Musky notes | Balsamic notes, Sweet notes, Foulness",0.3
Gala,Afternoon,Warm,31166,st Impression Green,Chris Adams,"st Impression Green by Chris Adams | Notes: Apple, Bergamot, Lemon, Mandarin orange, Putridity | Blackcurrant, Jasmine, Orange blossom, Pink pepper, Tiaré, Ash | Amber, Cedar, Coconut, Vanilla",0.2
Gala,Afternoon,Warm,8697,Chypre Le Chypre Coty 1917 Eau de Toilette,Coty,"Chypre Le Chypre Coty 1917 Eau de Toilette by Coty | Notes: Bergamot, Civet, Sage | Jasmine, Orris root, Rose | Oakmoss, Labdanum",0.1
Gala,Afternoon,Warm,25344,Night Scented Jasmine Floris Eau de Toilette,Floris,"Night Scented Jasmine Floris Eau de Toilette by Floris | Notes: Green notes, Violet leaf, Citrus notes, Mandarin orange, Neroli | Gardenia, Jasmine, Lily, Mimosa, Narcissus, Ylang-ylang, Rose, Iris | Sandalwood, Amber, Musk, Vetiver",0.7
Gala,Afternoon,Warm,9352,Coeur d'Or,Yves de Sistelle,"Coeur d'Or by Yves de Sistelle | Notes: Bergamot, Freesia | Aquatic flowers, Carnation, Geranium, Jasmine, Rose | Cedarwood, Musk",0.4
Gala,Afternoon,Warm,2624,Annicke 2,Eight & Bob,"Annicke 2 by Eight & Bob | Notes: Fig, Hazelnut, Mandarin orange | Immortelle, Tuberose, Ylang-ylang | Cedarwood, Sandalwood, Vanilla",0.6
Date Night,Evening,Warm,3127,Aramis Bermuda Tonic,Aramis,"Aramis Bermuda Tonic by Aramis | Notes: Bergamot, Rum | Coconut, Pineapple, Salty notes | Cedar, Lemon",0.6
Date Night,Evening,Warm,8492,Chic,Jacques Battini,"Chic by Jacques Battini | Notes: Cinnamon, Dried fruits, Ginger | Heliotrope, Tobacco, Tonka bean | Benzoin, Musk, Vanilla, Dust",0.8
Date Night,Evening,Warm,15005,Forbidden Fruit,Shop Lavana,"Forbidden Fruit by Shop Lavana | Notes: Kiwi, Rhubarb | Blackberry blossom, Freesia, Lily | Amber, Cashmere wood, Musk, Pink musk",0.4
Date Night,Evening,Warm,19993,King of Flowers Alghabra Extrait de Parfum,Alghabra,"King of Flowers Alghabra Extrait de Parfum by Alghabra | Notes: Citrus notes, Pink pepper, Chlorine | Bay leaf, Cedar, Ginger, Jasmine, Carrion | Gaiac wood, Patchouli, Sandalwood",0.3
Date Night,Evening,Warm,16474,Green Carnation,Pell Wall Perfumes,"Green Carnation by Pell Wall Perfumes | Notes: Clove, Grass, Green mandarin orange | Carnation, Galbanum | Amber, Frankincense, Musk, Oakmoss",0.2
Business,Morning,Bold,31726,Tag-Her Armaf Body Spray,Armaf,"Tag-Her Armaf Body Spray by Armaf | Notes: Bergamot, Neroli, Pink pepper | Honeysuckle, Orange blossom, Iris, Jasmine, Rose | Caramel, Musk, Vanilla, Labdanum",0.6
Business,Morning,Bold,8264,Chanel NÂ°5 L'Eau Purse Spray Refills Gift Set (EDT 3 x 20 ml),Eau de Toilette,"Chanel NÂ°5 L'Eau Purse Spray Refills Gift Set (EDT 3 x 20 ml) by Eau de Toilette | Notes: Bergamot, Ylang-Ylang, Neroli, Aldehydes, Amalfi Lemon | Iris, Lily-of-the-Valley, Jasmine, Rose, Orris Root | Sandalwood, Vetiver, Vanilla, Oakmoss, Patchouli, Musk, Amber, Civetta",0.7
Business,Morning,Bold,12943,Emporio Armani - In Love With You,Giorgio Armani,"Emporio Armani - In Love With You by Giorgio Armani | Notes: Blackcurrant, Cherry, Raspberry | Rose, Jasmine | Vermouth",0.1
Business,Morning,Bold,32475,To Be - Miss Beat,Police,"To Be - Miss Beat by Police | Notes: Blackcurrant, Coconut blossom, Lily of the valley | Heliotrope, Rose, White peach | Amberwood, Cashmere wood, Vanilla",0.2
Business,Morning,Bold,4234,B. Balenciaga Skin,Balenciaga,"B. Balenciaga Skin by Balenciaga | Notes: Lemon, Lychee, Rose, Funk | Iris, Magnolia, Orange blossom, Rose absolute, Putrescence | Amber, Musk, Patchouli, Grim",0.3
Wedding,Night,Mysterious,26723,Pacific Isles,Swiss Arabian,"Pacific Isles by Swiss Arabian | Notes: Bergamot, Galbanum, Hyacinth, Iris, Lemon, Tuberose | Aldehydes, Clove, Jasmine, Orris root, Rose, Spicy notes, Violet, Ylang-ylang | Amber, Musk, Oakmoss, Patchouli, Sandalwood, Vetiver",0.6
Wedding,Night,Mysterious,20088,Kokain,Rammstein,"Kokain by Rammstein | Notes: Cocaine, Heroin | Fuel, Patchouli | Leather, Charred wood, Fire",0.0
Wedding,Night,Mysterious,3630,Assan,Siam 1928,"Assan by Siam 1928 | Notes: Ozone, Petitgrain, Galbanum, Bergamot, Lavender | Jasmine, Frankincense, Orange blossom, Styrax, Ylang-ylang | Algae, Sea salt, Cedar, Labdanum",0.3
Wedding,Night,Mysterious,24784,Musk of Flowers,Mancera,"Musk of Flowers by Mancera | Notes: Fruits, Grapefruit | Rose lokum, Jasmine, Orange blossom, Violet | White musk, Sandalwood",0.7
Wedding,Night,Mysterious,27476,Playful Otto Kern 1991 Eau de Parfum,Otto Kern,"Playful Otto Kern 1991 Eau de Parfum by Otto Kern | Notes: Bergamot, Green notes, Mandarin orange, Ozone, Nastiness | Geranium, Jasmine, Lily of the valley, Violet | Amber, Cedar, Musk, Patchouli, Sandalwood, Tonka bean",0.2
Business,Night,Mysterious,21241,Laurent Mazzone Hysteric,Laurent Mazzone,"Laurent Mazzone Hysteric by Laurent Mazzone | Notes: Mandarin, Cardamom | Orchid, Heliotrope, Ylang-Ylang, Peony, Jasmine | musk, heliotrope and amber.",0.6
Business,Night,Mysterious,14140,Fawn's Meadow Atelier Austin Press Eau de Parfum,Atelier Austin Press,"Fawn's Meadow Atelier Austin Press Eau de Parfum by Atelier Austin Press | Notes: Blackcurrant, Grapefruit, Pink pepper, Rubber | Bulgarian rose, Jasmine, Lily of the valley, Turkish rose, Burnt Electronics | Amber, Violet, White musk, Zorplox",0.2
Business,Night,Mysterious,30957,Souffle Ambré Réminiscence 2024 Eau de Toilette Intense,Réminiscence,"Souffle Ambré Réminiscence 2024 Eau de Toilette Intense by Réminiscence | Notes: Geranium, Clove | Cedarwood, Sandalwood, Patchouli | Vanilla, Benzoin, Musk, Amber",0.7
Business,Night,Mysterious,19484,Joyau Unique & Sensoriel Parfums Cuirissime EDP,Joyau Unique & Sensoriel Parfums,Joyau Unique & Sensoriel Parfums Cuirissime EDP by Joyau Unique & Sensoriel Parfums | Notes: Violet Leaves | Iris | Leather,0.3
Business,Night,Mysterious,15278,Fresco Victor 1981 Eau de Cologne,Victor,"Fresco Victor 1981 Eau de Cologne by Victor | Notes: Neroli, Mandarin orange, Grapefruit, Lemon, Orange | Mint, Bergamot, Coriander, Lavender, Basil, Rose, Thyme, Ylang-ylang | Moss, Sandalwood, Cedar, Vanilla",0.4
Festival,Morning,Fresh,28740,Risingwave Cruise - Safari Brave ライジングウェーブ クルーズ サファリブレイブ,Risingwave / ライジングウェーブ,"Risingwave Cruise - Safari Brave ライジングウェーブ クルーズ サファリブレイブ by Risingwave / ライジングウェーブ | Notes: Bergamot, Blackcurrant, Grapefruit | Geranium, Jasmine, Violet, Wild flowers | Amber, Musk, Oakmoss, Sandalwood, Tonka bean",0.7
Festival,Morning,Fresh,3362,Armani Privé - Orangerie Venise,Giorgio Armani,"Armani Privé - Orangerie Venise by Giorgio Armani | Notes: Bergamot, Black pepper, Buchu | Neroli, Petitgrain | Ambroxan, Cedarwood, Moss",0.6
Festival,Morning,Fresh,7219,Café del Mar,Ramón Monegal,"Café del Mar by Ramón Monegal | Notes: Yellow apple, Coffee, Kelp | Freesia, Lavender, Lily | Ambergris, Vanilla, Sand",0.3
Festival,Morning,Fresh,31705,Tabacco d'Autore,Farmacia SS. Annunziata,"Tabacco d'Autore by Farmacia SS. Annunziata | Notes: Labdanum, Sweet vernal grass, Artemisia, Bergamot | Tobacco, Leather | Amber, Patchouli, Cashmeran, Gaiac wood, Musk, Virginia cedar",0.1
Festival,Morning,Fresh,34421,Victoria's Secret Rush Body Mist,Victoria's Secret,"Victoria's Secret Rush Body Mist by Victoria's Secret | Notes: ,",0.8
Gala,Evening,Subtle,11064,Detchema Revillon 1953 Eau de Parfum,Revillon,"Detchema Revillon 1953 Eau de Parfum by Revillon | Notes: Aldehydes, Angelica, Bergamot, Hyacinth, Lime blossom, Narcissus, Neroli, Peach | Bulgarian rose, Carnation, Florentine iris, Grasse jasmine, Hyacinth, Lily of the valley, Ylang-ylang | Sycamore, Andean vetiver, Leather, Orris root, Peruvian ambrette seed, Sandalwood, Sumatra benzoin, Tibetan musk, Tonka bean",0.8
Gala,Evening,Subtle,1645,Alraheeb Awedony EDP,Alraheeb,"Alraheeb Awedony EDP by Alraheeb | Notes: Oud | Woods, Oud | Ambroxan, Cashmere Wood, Musk",0.2
Gala,Evening,Subtle,5836,Blu Uomo Acqua dell'Elba Eau de Parfum,Acqua dell'Elba,"Blu Uomo Acqua dell'Elba Eau de Parfum by Acqua dell'Elba | Notes: Mandarin orange, Orange, Sea lily | Cistus, Myrtle, Jasmine | Cedarwood, Mastic, Oakmoss",0.3
Gala,Evening,Subtle,8262,Chanel NÂ°5 Hair Mist,40 ml,Chanel NÂ°5 Hair Mist by 40 ml | Notes: Rose | Jasmine,0.6
Gala,Evening,Subtle,31920,Terre d'Hermès Eau Très Fraîche,Hermès,"Terre d'Hermès Eau Très Fraîche by Hermès | Notes: Citrus fruits, Orange, Aquatic notes | Geranium | Cedar, Woody notes, Patchouli",0.1
Wedding,Evening,Warm,1538,all'Olio di Argan,L'Erbolario,"all'Olio di Argan by L'Erbolario | Notes: Bergamot, Lemon | Jasmine, Lily of the valley | Hazelnut, Vanilla, Amber, Musk",0.7
Wedding,Evening,Warm,31789,Tangy Rhubarb,Jo Malone,"Tangy Rhubarb by Jo Malone | Notes: Rhubarb | Orange | Clary sage, Cedarwood",0.2
Wedding,Evening,Warm,7983,Celebrate,Marilyn Miglin,"Celebrate by Marilyn Miglin | Notes: Chinese tagetes, Frangipani, Gardenia, Jasmine sambac | Apricot, Frangipani, Magnolia, Mimosa, Peony, Waterlily | Musk, Teakwood",0.9
Wedding,Evening,Warm,27369,Pink Crush,Revolution,"Pink Crush by Revolution | Notes: Bergamot, Orange | Jasmine, Rose | Patchouli, Vetiver",0.6
Wedding,Evening,Warm,5954,Blue Sea,Metascent,"Blue Sea by Metascent | Notes: Cyclamen, Geranium | Watermelon | Driftwood, Sea salt",0.1
Business,Night,Subtle,12689,Elie Saab Essence No.8 Santal,Elie Saab,"Elie Saab Essence No.8 Santal by Elie Saab | Notes: Cedar, Vetiver, Cardamom | Cardamom, Chinese, Osmanthus | Apricot, Suede, Sandalwood",0.7
Business,Night,Subtle,17936,I'm a Rose - Cheerful Beauty チアフルビューティ Venus Spa / ヴィーナススパ 2017 Eau de Parfum,Venus Spa / ヴィーナススパ,"I'm a Rose - Cheerful Beauty チアフルビューティ Venus Spa / ヴィーナススパ 2017 Eau de Parfum by Venus Spa / ヴィーナススパ | Notes: Apple, Blackcurrant | Jasmine | Musk, Woody notes",0.2
Business,Night,Subtle,33415,Un Paseo por Madrid - Doré,Loewe,"Un Paseo por Madrid - Doré by Loewe | Notes: Cinnamon, Nutmeg, Orange blossom, Patchouli, Rose | Benzoin, Tonka bean absolute | Amberwood, Vanilla",0.3
